dataset,metric,better_direction,method_a,method_b,n_pairs,mean_a,mean_b,mean_advantage_a,advantage_ci95_low,advantage_ci95_high,wins_a,ties,losses_a,significance
bonn,abs_rel,lower,Full cache,K4,5,0.07491206520972343,0.07582782782162342,0.0009157626118999909,-0.005007152595623153,0.004223935525801689,4,0,1,NO_CLEAR_DIFFERENCE
bonn,rmse,lower,Full cache,K4,5,0.3029155225954817,0.3082251223746354,0.00530959977915374,-0.007892124529071681,0.01727416961045978,4,0,1,NO_CLEAR_DIFFERENCE
bonn,delta_1,higher,Full cache,K4,5,0.9594744920730591,0.9562145352363587,0.0032599568367004395,0.0012804746627807617,0.005239439010620117,5,0,0,A_BETTER
bonn,inference_sec,lower,Full cache,K4,5,35.68242528860064,14.414426559799903,-21.26799872880074,-21.466274124600023,-21.120941594202304,0,0,5,B_BETTER
bonn,peak_allocated_mb,lower,Full cache,K4,5,21379.6310546875,10299.01396484375,-11080.61708984375,-11091.01689453125,-11070.8521484375,0,0,5,B_BETTER
bonn,abs_rel,lower,Full cache,K6,5,0.07491206520972343,0.08414841212080929,0.009236346911085843,0.003148226055782119,0.015005652223314158,4,0,1,A_BETTER
bonn,rmse,lower,Full cache,K6,5,0.3029155225954817,0.322613369613732,0.019697847018250274,0.002110923980020296,0.039118229639961075,4,0,1,A_BETTER
bonn,delta_1,higher,Full cache,K6,5,0.9594744920730591,0.9552068829536438,0.0042676091194152836,0.0018922805786132813,0.006895899772644043,5,0,0,A_BETTER
bonn,inference_sec,lower,Full cache,K6,5,35.68242528860064,14.814939980999771,-20.867485307600873,-21.01471676340079,-20.7407180470007,0,0,5,B_BETTER
bonn,peak_allocated_mb,lower,Full cache,K6,5,21379.6310546875,10674.93193359375,-10704.69912109375,-10714.1654296875,-10695.2328125,0,0,5,B_BETTER
bonn,abs_rel,lower,Full cache,K8,5,0.07491206520972343,0.08468615894210409,0.009774093732380647,0.0014669512883043133,0.01916513824420104,4,0,1,A_BETTER
bonn,rmse,lower,Full cache,K8,5,0.3029155225954817,0.324694847072598,0.021779324477116273,-0.00011514215096280477,0.047855168199844984,4,0,1,NO_CLEAR_DIFFERENCE
bonn,delta_1,higher,Full cache,K8,5,0.9594744920730591,0.9559604048728942,0.003514087200164795,0.001758885383605957,0.005502951145172119,5,0,0,A_BETTER
bonn,inference_sec,lower,Full cache,K8,5,35.68242528860064,15.551779910801269,-20.130645377799375,-20.352453276597224,-19.93340247360029,0,0,5,B_BETTER
bonn,peak_allocated_mb,lower,Full cache,K8,5,21379.6310546875,11069.2455078125,-10310.385546875,-10314.27734375,-10306.78505859375,0,0,5,B_BETTER
bonn,abs_rel,lower,K4,K6,5,0.07582782782162342,0.08414841212080929,0.008320584299185852,0.005054160239432395,0.011573744081497193,5,0,0,A_BETTER
bonn,rmse,lower,K4,K6,5,0.3082251223746354,0.322613369613732,0.014388247239096536,0.006458303990948077,0.02345342895666569,5,0,0,A_BETTER
bonn,delta_1,higher,K4,K6,5,0.9562145352363587,0.9552068829536438,0.0010076522827148437,6.573200225830078e-05,0.0020817995071411135,4,0,1,A_BETTER
bonn,inference_sec,lower,K4,K6,5,14.414426559799903,14.814939980999771,0.40051342119986655,0.3436682228006248,0.4642751920000592,5,0,0,A_BETTER
bonn,peak_allocated_mb,lower,K4,K6,5,10299.01396484375,10674.93193359375,375.91796875,373.191796875,378.644140625,5,0,0,A_BETTER
bonn,abs_rel,lower,K4,K8,5,0.07582782782162342,0.08468615894210409,0.008858331120480656,0.002782477849094421,0.015219074097662965,5,0,0,A_BETTER
bonn,rmse,lower,K4,K8,5,0.3082251223746354,0.324694847072598,0.016469724697962533,0.0030770297213373876,0.03028625013143607,4,0,1,A_BETTER
bonn,delta_1,higher,K4,K8,5,0.9562145352363587,0.9559604048728942,0.0002541303634643555,-0.00023578405380249025,0.0007460236549377442,3,0,2,NO_CLEAR_DIFFERENCE
bonn,inference_sec,lower,K4,K8,5,14.414426559799903,15.551779910801269,1.1373533510013658,1.0656445632012037,1.2273011030018097,5,0,0,A_BETTER
bonn,peak_allocated_mb,lower,K4,K8,5,10299.01396484375,11069.2455078125,770.23154296875,762.8951171875,779.3010839843749,5,0,0,A_BETTER
bonn,abs_rel,lower,K6,K8,5,0.08414841212080929,0.08468615894210409,0.0005377468212948031,-0.0028290789545427813,0.0038543250567176614,2,0,3,NO_CLEAR_DIFFERENCE
bonn,rmse,lower,K6,K8,5,0.322613369613732,0.324694847072598,0.002081477458865999,-0.004805318403734582,0.008793201649267867,3,0,2,NO_CLEAR_DIFFERENCE
bonn,delta_1,higher,K6,K8,5,0.9552068829536438,0.9559604048728942,-0.0007535219192504883,-0.0023378267884254446,0.0006488800048828125,3,0,2,NO_CLEAR_DIFFERENCE
bonn,inference_sec,lower,K6,K8,5,14.814939980999771,15.551779910801269,0.7368399298014993,0.6546528298036719,0.8085037424018082,5,0,0,A_BETTER
bonn,peak_allocated_mb,lower,K6,K8,5,10674.93193359375,11069.2455078125,394.31357421875,387.6439453125,402.29833984375,5,0,0,A_BETTER
kitti,abs_rel,lower,Full cache,K4,13,0.16083081370996868,0.13075917920512523,-0.030071634504843445,-0.059687213308390975,-0.003817914642082959,5,0,8,B_BETTER
kitti,rmse,lower,Full cache,K4,13,4.9245426286597915,4.245623709175397,-0.6789189194843933,-1.2279989404732123,-0.22383183973564674,2,0,11,B_BETTER
kitti,delta_1,higher,Full cache,K4,13,0.7544207779260782,0.8365438672212454,-0.08212308929516719,-0.16735083776024673,-0.01258056817146448,6,0,7,B_BETTER
kitti,inference_sec,lower,Full cache,K4,13,16.289244334461657,10.776490513153895,-5.512753821307762,-6.548620505288021,-4.401102017536883,0,0,13,B_BETTER
kitti,peak_allocated_mb,lower,Full cache,K4,13,12013.224571814904,8033.750863882212,-3979.4737079326924,-4355.609294245793,-3563.306114783654,0,0,13,B_BETTER
kitti,abs_rel,lower,Full cache,K6,13,0.16083081370996868,0.15539956690250623,-0.0054312468074624205,-0.0350859971211117,0.020555420202356546,7,0,6,NO_CLEAR_DIFFERENCE
kitti,rmse,lower,Full cache,K6,13,4.9245426286597915,4.736537174786709,-0.18800545387308135,-0.6949195593654949,0.24458228226802115,5,0,8,NO_CLEAR_DIFFERENCE
