cell,mode,status,dataset,sequence,num_frames,processed_frames,cache_window_size,cache_policy,input_mode,output_mode,inference_sec,wall_sec,fps_inference,fps_end_to_end,peak_allocated_mb,peak_reserved_mb,rss_before_mib,rss_peak_mib,rss_growth_mib,max_input_tensors_mib,max_retained_outputs_mib,max_retained_views_mib,max_aggregator_kv_mib,max_camera_kv_mib,max_descriptor_mib,max_trace_allocated_mib,camera_pose_sha256,depth_sha256,ate,rpe_trans,rpe_rot_deg,gpu_name,torch_version,cuda_version,python_version
full_accumulated,stream_accumulate,ok,bonn,person_tracking2,110,110,,full_cache,streaming,retained,31.353400494903326,31.532375775044784,3.5083913790429566,3.488478026037471,19586.712890625,44728.0,1149.68359375,1515.33984375,365.65625,2.2407989501953125,492.9795455932617,0.0,10353.75,27.5,0.0,17629.19921875,0fc4827f33bb4ceaa229ba861471d2006e937799421f51cde9cc49b0559394bf,3c274a46aab33f97d9bd9a04dd5ebc97e7d0fa6dce3d4b6386ffb38d3ad85971,0.14805694993346633,0.0949035881540948,5.436497859391039,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9
full_release,stream_release,ok,bonn,person_tracking2,110,110,,full_cache,streaming,sink,31.954845504835248,31.954850311856717,3.442357434754468,3.442356916914893,19084.5908203125,44594.0,1149.625,1515.2109375,365.5859375,2.2407989501953125,0.0,0.0,10353.75,27.5,0.0,17121.89208984375,0fc4827f33bb4ceaa229ba861471d2006e937799421f51cde9cc49b0559394bf,3c274a46aab33f97d9bd9a04dd5ebc97e7d0fa6dce3d4b6386ffb38d3ad85971,0.14805694993346633,0.0949035881540948,5.436497859391039,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9
k4_accumulated,stream_accumulate,ok,bonn,person_tracking2,110,110,4,anchor_recent_dino_diverse_k4,streaming,retained,9.767581285908818,9.945202969014645,11.26174400603057,11.06060885260129,8518.2705078125,9432.0,1149.8125,1598.39453125,448.58203125,2.2407989501953125,492.9795455932617,0.0,376.5,1.0,0.015625,8087.06396484375,a047d596753dca4e736584ada9d57718fc85e84ba0129f2c2143cf12dfa96bf1,04116f17398bfb79185f09b4a85a78c9938473f8ba01b24481fc83cd86cba0ee,0.6665730237031472,0.15342937728251255,41.67291367808439,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9
k4_release,stream_release,ok,bonn,person_tracking2,110,110,4,anchor_recent_dino_diverse_k4,streaming,sink,9.869019870879129,9.869025750085711,11.145990325197435,11.14598368527356,8026.3154296875,8782.0,1149.70703125,1598.26171875,448.5546875,2.2407989501953125,0.0,0.0,376.5,1.0,0.015625,7590.80078125,a047d596753dca4e736584ada9d57718fc85e84ba0129f2c2143cf12dfa96bf1,04116f17398bfb79185f09b4a85a78c9938473f8ba01b24481fc83cd86cba0ee,0.6665730237031472,0.15342937728251255,41.67291367808439,NVIDIA RTX 6000 Ada Generation,2.3.1+cu121,12.1,3.11.9
