dataset,method,metric,n_sequences,mean,median,std,ci95_low,ci95_high,aggregation
bonn,Full cache,abs_rel,5,0.07491206520972343,0.056061668675243446,0.046379078407087104,0.05185914813317797,0.11663326651789072,unweighted_sequence_mean
bonn,Full cache,sq_rel,5,0.0618605522220723,0.02813008623162032,0.08727430606957728,0.018410693303589305,0.14018196426363624,unweighted_sequence_mean
bonn,Full cache,rmse,5,0.3029155225954817,0.24249945158526232,0.17571505560753148,0.21022946807666748,0.46139635589890016,unweighted_sequence_mean
bonn,Full cache,log_rmse,5,0.14038668029403772,0.10768011685137317,0.09689740225885242,0.08810975820330624,0.22771572187891934,unweighted_sequence_mean
bonn,Full cache,delta_1,5,0.9594744920730591,0.9791742563247681,0.0554624108136698,0.909912645816803,0.9875694036483764,unweighted_sequence_mean
bonn,Full cache,delta_2,5,0.9745381236076355,0.9883612990379333,0.038397386732924865,0.9399591445922851,0.9943969011306762,unweighted_sequence_mean
bonn,Full cache,delta_3,5,0.9820761919021607,0.9926729202270508,0.028051171973513808,0.956597900390625,0.9967517495155335,unweighted_sequence_mean
bonn,Full cache,inference_sec,5,35.68242528860064,35.6706581239996,0.45765556732065416,35.369020026801444,36.05762168540023,unweighted_sequence_mean
bonn,Full cache,fps_inference,5,3.083152264104439,3.0837670451050867,0.03919705170217331,3.0511602986067294,3.1101232224376156,unweighted_sequence_mean
bonn,Full cache,peak_allocated_mb,5,21379.6310546875,21624.91845703125,559.481590359266,20877.94150390625,21635.85458984375,unweighted_sequence_mean
bonn,Full cache,peak_reserved_mb,5,43757.6,43496.0,584.955382913945,43496.0,44280.8,unweighted_sequence_mean
bonn,K4,abs_rel,5,0.07582782782162342,0.05848929585623949,0.048624975235255295,0.04977703258203039,0.11941462125557815,unweighted_sequence_mean
bonn,K4,sq_rel,5,0.06332506679665659,0.02934448346015807,0.08830259007436843,0.01818834705950551,0.14208156852014295,unweighted_sequence_mean
bonn,K4,rmse,5,0.3082251223746354,0.2476497636132152,0.17369177369088565,0.21349496806667986,0.4660625538011782,unweighted_sequence_mean
bonn,K4,log_rmse,5,0.14348310044461163,0.10888307844841243,0.09921901309074493,0.08682342952510276,0.2340879547964628,unweighted_sequence_mean
bonn,K4,delta_1,5,0.9562145352363587,0.9783028364181519,0.05708883676143734,0.9048232316970826,0.9860988140106202,unweighted_sequence_mean
bonn,K4,delta_2,5,0.9730888724327087,0.987518310546875,0.03924805931203997,0.9376118421554566,0.9930292367935181,unweighted_sequence_mean
bonn,K4,delta_3,5,0.981446361541748,0.9916309118270874,0.028237966335757297,0.9558259010314941,0.9960207223892212,unweighted_sequence_mean
bonn,K4,inference_sec,5,14.414426559799903,14.327608995001356,0.2716594534868513,14.207216194999637,14.632209798399709,unweighted_sequence_mean
bonn,K4,fps_inference,5,7.633397607474812,7.677484780494569,0.1428758654489677,7.5195172858957235,7.742697169169928,unweighted_sequence_mean
bonn,K4,peak_allocated_mb,5,10299.01396484375,10542.19287109375,558.1626067221238,9798.65458984375,10555.72021484375,unweighted_sequence_mean
bonn,K4,peak_reserved_mb,5,11293.6,11558.0,591.2163732509445,10764.8,11558.0,unweighted_sequence_mean
bonn,K6,abs_rel,5,0.08414841212080929,0.07017971837382218,0.04696435325039478,0.058327270833832615,0.12588862049427735,unweighted_sequence_mean
bonn,K6,sq_rel,5,0.06592128661811598,0.030075753064258564,0.08737908642519583,0.021435664327339805,0.14490714038854488,unweighted_sequence_mean
bonn,K6,rmse,5,0.322613369613732,0.2580962552006412,0.16604845594250559,0.23266539882132267,0.4725060332908518,unweighted_sequence_mean
bonn,K6,log_rmse,5,0.14787551755711514,0.1126286870277401,0.09441994038644476,0.09393375216124988,0.23186964653668554,unweighted_sequence_mean
bonn,K6,delta_1,5,0.9552068829536438,0.9762884378433228,0.05809404824422844,0.9031551480293274,0.9856771230697632,unweighted_sequence_mean
bonn,K6,delta_2,5,0.9727052330970765,0.9865559935569763,0.04003337334712436,0.9366587281227112,0.9933104634284973,unweighted_sequence_mean
bonn,K6,delta_3,5,0.9813453912734985,0.9917796850204468,0.028302775257530947,0.955849027633667,0.9961951851844788,unweighted_sequence_mean
bonn,K6,inference_sec,5,14.814939980999771,14.706889844997932,0.3068373869227321,14.598559405000561,15.072647496799618,unweighted_sequence_mean
bonn,K6,fps_inference,5,7.4274496086059,7.479487584345572,0.15164225232979597,7.297619586609376,7.535113370457596,unweighted_sequence_mean
bonn,K6,peak_allocated_mb,5,10674.93193359375,10922.0380859375,556.3242233091979,10176.79443359375,10930.94375,unweighted_sequence_mean
bonn,K6,peak_reserved_mb,5,11900.0,12206.0,594.6057517380739,11364.8,12244.4,unweighted_sequence_mean
bonn,K8,abs_rel,5,0.08468615894210409,0.07529946933561533,0.04600257262590282,0.05729647282690884,0.124434600462586,unweighted_sequence_mean
bonn,K8,sq_rel,5,0.06675785720112129,0.02805234974145476,0.08801472913962323,0.022163072349485013,0.1451954585953487,unweighted_sequence_mean
bonn,K8,rmse,5,0.324694847072598,0.2589167028875079,0.16592449895638942,0.2323108299955917,0.47073953357331677,unweighted_sequence_mean
bonn,K8,log_rmse,5,0.14821912887516692,0.10935740625103318,0.09500354489757562,0.09408286125639258,0.23243182117189498,unweighted_sequence_mean
bonn,K8,delta_1,5,0.9559604048728942,0.9783647060394287,0.05656537979579439,0.9049134016036987,0.9854698181152344,unweighted_sequence_mean
bonn,K8,delta_2,5,0.9736900568008423,0.9877394437789917,0.03920966555327491,0.9384658935666085,0.9941192030906677,unweighted_sequence_mean
bonn,K8,delta_3,5,0.9817172050476074,0.9917545318603516,0.028123458968960006,0.9562360048294067,0.9961458444595337,unweighted_sequence_mean
bonn,K8,inference_sec,5,15.551779910801269,15.497096547002002,0.23137511435345573,15.381454145599127,15.746272758402483,unweighted_sequence_mean
bonn,K8,fps_inference,5,7.074393710193161,7.09810380714703,0.10489293046997737,6.994928764400399,7.152207906645549,unweighted_sequence_mean
bonn,K8,peak_allocated_mb,5,11069.2455078125,11312.841796875,557.6481467305613,10569.46123046875,11324.3099609375,unweighted_sequence_mean
bonn,K8,peak_reserved_mb,5,12336.8,12646.0,691.392218642935,11718.4,12646.0,unweighted_sequence_mean
kitti,Full cache,abs_rel,13,0.16083081370996868,0.16294789581838676,0.06746704574279501,0.12644112489618467,0.19763701503641823,unweighted_sequence_mean
kitti,Full cache,sq_rel,13,0.8670897642089282,0.7738277012282182,0.484804517816104,0.6284407991223193,1.1384432492788914,unweighted_sequence_mean
kitti,Full cache,rmse,13,4.9245426286597915,4.887360981984805,1.2039561714757556,4.279080273470802,5.532306664400887,unweighted_sequence_mean
kitti,Full cache,log_rmse,13,0.20890032779207288,0.2038704365802727,0.06523740296691191,0.17512884460906453,0.24303938859905602,unweighted_sequence_mean
kitti,Full cache,delta_1,13,0.7544207779260782,0.7866169214248657,0.1846176728331423,0.6541488956946594,0.8424193751353484,unweighted_sequence_mean
kitti,Full cache,delta_2,13,0.9505573419424204,0.9748930931091309,0.05963555900554634,0.9165438171762686,0.9776404322339938,unweighted_sequence_mean
kitti,Full cache,delta_3,13,0.9918708159373357,0.9947670698165894,0.007292250042391264,0.9877242307250317,0.995404677436902,unweighted_sequence_mean
kitti,Full cache,inference_sec,13,16.289244334461657,19.0853935740015,3.904326793580228,14.138043725790354,18.19913111952351,unweighted_sequence_mean
kitti,Full cache,fps_inference,13,6.101717751860807,5.7635699035226695,0.49345950339594713,5.860651712428893,6.367521393086035,unweighted_sequence_mean
kitti,Full cache,peak_allocated_mb,13,12013.224571814904,12569.53369140625,910.5579061180964,11515.252405724159,12453.255552321214,unweighted_sequence_mean
kitti,Full cache,peak_reserved_mb,13,24570.153846153848,25358.0,2798.8224263713073,23005.23076923077,25358.0,unweighted_sequence_mean
kitti,K4,abs_rel,13,0.13075917920512523,0.13641519224535184,0.033660945039619236,0.11213312531945234,0.14705393987729634,unweighted_sequence_mean
kitti,K4,sq_rel,13,0.5916139177729598,0.5416608191724819,0.22305855745598618,0.4779425726159015,0.7085260010003127,unweighted_sequence_mean
kitti,K4,rmse,13,4.245623709175397,4.141367089890762,1.0229088330497313,3.7252774428140296,4.78421491560863,unweighted_sequence_mean
kitti,K4,log_rmse,13,0.17368146858069522,0.17190686201341107,0.037160846500587985,0.152469171868184,0.19102894350282776,unweighted_sequence_mean
kitti,K4,delta_1,13,0.8365438672212454,0.8247299194335938,0.07338647182983056,0.799296927681336,0.8760914902274426,unweighted_sequence_mean
kitti,K4,delta_2,13,0.9815751084914575,0.9861207008361816,0.015694500607893687,0.9725628978930987,0.9886415342871959,unweighted_sequence_mean
kitti,K4,delta_3,13,0.9930674204459558,0.9964724183082581,0.008746337259659433,0.9880588193352406,0.9970035391358228,unweighted_sequence_mean
kitti,K4,inference_sec,13,10.776490513153895,12.01872154100056,1.8140642891153897,9.795168719865734,11.657761085263044,unweighted_sequence_mean
kitti,K4,fps_inference,13,9.049462945727527,9.124056051086754,0.21810667622568766,8.922659291523434,9.136270728056804,unweighted_sequence_mean
kitti,K4,peak_allocated_mb,13,8033.750863882212,8040.52685546875,186.89474424828137,7924.017796912561,8115.557476337139,unweighted_sequence_mean
kitti,K4,peak_reserved_mb,13,10392.461538461539,10446.0,150.73631247126852,10298.0,10446.0,unweighted_sequence_mean
kitti,K6,abs_rel,13,0.15539956690250623,0.16529681386387368,0.04825953076970308,0.1288664924282532,0.17907956010645837,unweighted_sequence_mean
kitti,K6,sq_rel,13,0.7836391854209993,0.7980393520355246,0.30498272717631025,0.6218148063267925,0.9393813789738115,unweighted_sequence_mean
kitti,K6,rmse,13,4.736537174786709,4.7302875481915105,1.0748393616137173,4.1588257331757985,5.289993392353562,unweighted_sequence_mean
kitti,K6,log_rmse,13,0.20091048633803504,0.21017183165828585,0.04738286078151306,0.17337743765876254,0.22304778209466483,unweighted_sequence_mean
kitti,K6,delta_1,13,0.760578256386977,0.7563214302062988,0.1253680027108934,0.6959312061850841,0.8263145602666414,unweighted_sequence_mean
kitti,K6,delta_2,13,0.9673313039999741,0.9665332436561584,0.02137043164785038,0.9559733904325045,0.9782757341861724,unweighted_sequence_mean
kitti,K6,delta_3,13,0.9920168152222266,0.9950783848762512,0.009790183368914336,0.9862191184208944,0.9963127948916876,unweighted_sequence_mean
kitti,K6,inference_sec,13,10.968049670923323,12.181615042998601,1.871127066428718,9.941001043994682,11.874494111960205,unweighted_sequence_mean
kitti,K6,fps_inference,13,8.895166457795808,8.98637343153412,0.24215034649983372,8.751779274053757,9.002257470434618,unweighted_sequence_mean
kitti,K6,peak_allocated_mb,13,8177.876915564904,8189.47265625,189.7520995385645,8066.813577035758,8262.595778245191,unweighted_sequence_mean
kitti,K6,peak_reserved_mb,13,10393.846153846154,10444.0,143.20721941406342,10304.615384615385,10444.0,unweighted_sequence_mean
kitti,K8,abs_rel,13,0.18132779306324623,0.20344539895002065,0.06420323642451557,0.1466832173220561,0.21356194546556714,unweighted_sequence_mean
kitti,K8,sq_rel,13,1.0513284216150054,0.9648696823199941,0.5013013941712552,0.7899187520346104,1.310457590047134,unweighted_sequence_mean
kitti,K8,rmse,13,5.290152223598487,5.505003255449747,1.1533152654717687,4.643727817762277,5.832675675613729,unweighted_sequence_mean
kitti,K8,log_rmse,13,0.22912769104259645,0.23923280976807737,0.06278867383897455,0.19477984426994016,0.2591676348384178,unweighted_sequence_mean
