method,method_id,task,dataset,evaluation_unit,metric,direction,oracle_scope,n_units,mean_normalized_regret,median_normalized_regret,max_normalized_regret,oracle_wins
K6,k6,pose,all,mixed_units,ate,lower,bounded_only,3,0.45049434259935944,0.11624226038739259,1.2070687916125058,0
K8,k8,pose,all,mixed_units,ate,lower,bounded_only,3,0.10336113725385426,0.04179408105581041,0.2682893307057524,1
K4,k4,pose,all,mixed_units,rpe_rot_deg,lower,bounded_only,3,1.4163148893514197,0.36147038126975867,3.8164922897988567,0
K6,k6,pose,all,mixed_units,rpe_rot_deg,lower,bounded_only,3,1.2807161079373883,0.04339278286924102,3.798755540942924,1
K8,k8,pose,all,mixed_units,rpe_rot_deg,lower,bounded_only,3,0.001064826539771041,0.0,0.0031944796193131234,2
K4,k4,static_recon,7scenes,sequence,overall,lower,bounded_only,12,0.31590925890849586,0.03946236846145315,2.0783843545113703,4
K6,k6,static_recon,7scenes,sequence,overall,lower,bounded_only,12,0.09121231775102351,0.04877365062775348,0.5809007578148565,2
K8,k8,static_recon,7scenes,sequence,overall,lower,bounded_only,12,0.07868374615077856,0.002608249802041693,0.44676437185232704,6
K4,k4,static_recon,7scenes,sequence,nc,higher,bounded_only,12,0.014265710716255925,0.00493632428217823,0.09624665384128207,4
K6,k6,static_recon,7scenes,sequence,nc,higher,bounded_only,12,0.008460306532139932,0.005049227921369415,0.032082032179225825,3
K8,k8,static_recon,7scenes,sequence,nc,higher,bounded_only,12,0.006010700072285225,0.0006395042052299658,0.028872135222583944,5
K4,k4,static_recon,nrgbd,sequence,overall,lower,bounded_only,9,0.10085990672453446,0.0,0.4317989426719747,5
K6,k6,static_recon,nrgbd,sequence,overall,lower,bounded_only,9,0.1836126460606985,0.1524311290005682,0.505278959929241,1
K8,k8,static_recon,nrgbd,sequence,overall,lower,bounded_only,9,0.23840119898788067,0.0,1.0166875633797592,5
K4,k4,static_recon,nrgbd,sequence,nc,higher,bounded_only,9,0.010658753355102416,0.0,0.039465118588809064,6
K6,k6,static_recon,nrgbd,sequence,nc,higher,bounded_only,9,0.03440631607586586,0.026758956696064314,0.0924741764031429,2
K8,k8,static_recon,nrgbd,sequence,nc,higher,bounded_only,9,0.024695497538271535,0.01165203996294377,0.11825706864551888,3
K4,k4,static_recon,eth3d,sequence,overall,lower,bounded_only,13,0.33201943454559046,0.12360649818897862,1.4924106682195337,4
K6,k6,static_recon,eth3d,sequence,overall,lower,bounded_only,13,0.13916326487994482,0.039789610379981875,0.6012160958952872,4
K8,k8,static_recon,eth3d,sequence,overall,lower,bounded_only,13,0.14025792947718752,0.021997076520008423,1.0646282488553525,5
K4,k4,static_recon,eth3d,sequence,nc,higher,bounded_only,13,0.0415917532601866,0.015640034972624783,0.12995717726421277,2
K6,k6,static_recon,eth3d,sequence,nc,higher,bounded_only,13,0.019418790017093603,0.0015241179017028157,0.09116505065003723,6
K8,k8,static_recon,eth3d,sequence,nc,higher,bounded_only,13,0.01284329230077448,0.006547329461647144,0.04093065946254939,5
K4,k4,static_recon,all,mixed_units,overall,lower,bounded_only,34,0.26514420342692463,0.04977163611308504,2.0783843545113703,13
K6,k6,static_recon,all,mixed_units,overall,lower,bounded_only,34,0.13400541385287798,0.06608017039591116,0.6012160958952872,7
K8,k8,static_recon,all,mixed_units,overall,lower,bounded_only,34,0.1445049655265796,0.003979505446519017,1.0646282488553525,16
K4,k4,static_recon,all,mixed_units,nc,higher,bounded_only,34,0.02375912062274761,0.006580083200680566,0.12995717726421277,12
K6,k6,static_recon,all,mixed_units,nc,higher,bounded_only,34,0.019518376273255554,0.005049227921369415,0.0924741764031429,11
K8,k8,static_recon,all,mixed_units,nc,higher,bounded_only,34,0.013569137606527492,0.002602877137568926,0.11825706864551888,13
K4,k4,dynamic_recon,tum,sequence,overall,lower,bounded_only,8,0.024107985704760717,0.0,0.16284491361157863,6
K6,k6,dynamic_recon,tum,sequence,overall,lower,bounded_only,8,0.1309952611878218,0.1506595404247713,0.29721984184102734,1
K8,k8,dynamic_recon,tum,sequence,overall,lower,bounded_only,8,0.21821094723394988,0.1969869819703082,0.5099647091743562,1
K4,k4,dynamic_recon,tum,sequence,nc,higher,bounded_only,8,0.005481783699753127,0.0035304349241912355,0.0226421464137534,3
K6,k6,dynamic_recon,tum,sequence,nc,higher,bounded_only,8,0.0098832830233967,0.010190808390128436,0.020919848924956443,2
K8,k8,dynamic_recon,tum,sequence,nc,higher,bounded_only,8,0.007853161759311564,0.0011895907141982573,0.034453698817322104,3
K4,k4,cross_task_macro,all,benchmark_dataset,primary_quality,lower_regret,bounded_only,10,0.15212495673879273,0.0,1.0793230642585498,7
K6,k6,cross_task_macro,all,benchmark_dataset,primary_quality,lower_regret,bounded_only,10,0.20177607762380195,0.0974621227524968,1.2070687916125058,1
K8,k8,cross_task_macro,all,benchmark_dataset,primary_quality,lower_regret,bounded_only,10,0.13711271918215837,0.08874413675355605,0.44184814882424367,2
