task,dataset,sequence,method,method_id,cache_policy,cache_window_size,status,error,num_frames,accuracy,accuracy_median,completeness,completeness_median,normal_consistency,normal_consistency_median,overall,pose_status,pose_error,ate,rpe_trans,rpe_rot_deg,icp_fitness,icp_rmse,inference_sec,fps_inference,final_frame_ms,peak_allocated_mib,peak_reserved_mib
dynamic,tum,rgbd_dataset_freiburg3_walking_static,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,50,0.03538469072241658,0.021037045324182595,0.017168950807259265,0.005542364878275765,0.6034596257168847,0.6611238933281243,0.02627682076483792,ok,,0.007369145914036108,0.005485432327144024,0.24733965938967326,0.9260678222442686,0.03569198225392788,4.436165543040261,11.27099507781967,76.9280014038086,8542.97607421875,9454.0
dynamic,tum,rgbd_dataset_freiburg3_walking_static,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,50,0.04635255747599014,0.023675782363169105,0.01941156025157525,0.0054943939294924745,0.598426230472249,0.6526148552198681,0.0328820588637827,ok,,0.0076510908586335255,0.005201136229874614,0.24769853239931852,0.8663417152563029,0.036822292843561415,4.057160270167515,12.323890768538845,81.22806549072266,8937.34912109375,9952.0
dynamic,tum,rgbd_dataset_freiburg3_walking_static,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,50,0.0466521166672579,0.02448653057184669,0.02070214063313674,0.0065356278973637645,0.6081724624977446,0.6689825428978655,0.03367712865019732,ok,,0.007881075770493318,0.005109466975673105,0.24995170603470787,0.8590604515629672,0.03720162932036521,4.461445434950292,11.207130229209467,89.55699157714844,9333.31201171875,10448.0
dynamic,tum,rgbd_dataset_freiburg3_walking_xyz,Full cache,full_cache,full_cache,,ok,,50,0.09369367430110032,0.0125524254258878,0.03705083092158739,0.005340228620241724,0.5947781993088992,0.654060753651662,0.06537225261134386,ok,,0.014236445268858264,0.011447740390368714,0.2840985701209867,0.8619112886484664,0.026974399670125257,8.54780590813607,5.849454297085575,268.17437744140625,13152.41845703125,20842.0
dynamic,tum,rgbd_dataset_freiburg3_walking_xyz,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,50,0.11009245010069858,0.01918674681205138,0.04331158599430156,0.005633324925262624,0.604317241129466,0.6703663422161843,0.07670201804750007,ok,,0.014083348341607942,0.013095159866860606,0.29270007591457053,0.880195291090908,0.03474246833667799,4.473264258122072,11.177519841179823,77.59667205810547,8542.97607421875,9454.0
dynamic,tum,rgbd_dataset_freiburg3_walking_xyz,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,50,0.10588114511084386,0.014902910995361089,0.043052068996063245,0.0051412079613744124,0.5980475002874418,0.6576089961334677,0.07446660705345355,ok,,0.01526256900910275,0.01271385592743605,0.2876026072774161,0.8712693486619989,0.03221363655055117,4.665479514049366,10.717012013327414,81.29843139648438,8937.34912109375,9952.0
dynamic,tum,rgbd_dataset_freiburg3_walking_xyz,K8,k8,anchor_recent_dino_diverse_k8,8,ok,,50,0.12172343844271155,0.02597386360995551,0.04394171116974733,0.006222173934926028,0.5990010009577069,0.6592040970105444,0.08283257480622944,ok,,0.01806253064110883,0.012426893219895018,0.28760608957597295,0.8410423979008206,0.038242920578753246,4.423581977142021,11.303057173658145,93.00787353515625,9332.56591796875,10426.0
static,7scenes,chess/seq-03,Full cache,full_cache,full_cache,,ok,,20,0.023795053992054203,0.013310341191165195,0.02275800383336922,0.0075946108490430285,0.7082771324334747,0.8182488632848575,0.02327652891271171,ok,,0.05208192980254126,0.053599408431003616,1.8001752172846723,0.968870371571234,0.02775825055085007,2.1979922021273524,9.099213355098698,132.69606018066406,9429.16748046875,10700.0
static,7scenes,chess/seq-03,K4,k4,anchor_recent_dino_diverse_k4,4,ok,,20,0.037755021598474735,0.023875256613727257,0.025312342673572567,0.010124041851464434,0.6885831748301927,0.7922701084625288,0.03153368213602365,ok,,0.06248359964349493,0.07285392605697746,1.89394810683596,0.9206396040031991,0.0396404158758525,1.9573266878724098,10.218018343038972,81.51347351074219,8259.24365234375,9116.0
static,7scenes,chess/seq-03,K6,k6,anchor_recent_dino_diverse_k6,6,ok,,20,0.035746526891414165,0.0233080558263703,0.023987259205525753,0.009461510082248494,0.6908781726695975,0.7965853247983359,0.02986689304846996,ok,,0.05758582495963736,0.060983497980395505,1.9011317915700032,0.9284384929641398,0.03669991949176584,1.9878008670639247,10.061369995044293,84.21683502197266,8649.71044921875,9706.0
