candidate,same_gpu_ok,bonn_coverage_ok,bonn_quality_ok,bonn_memory_below_full,kitti_coverage_ok,kitti_quality_ok,kitti_memory_below_full,sintel_coverage_ok,sintel_quality_ok,sintel_memory_below_full,all_coverage_ok,all_quality_ok,all_memory_below_full,temporal_vs_best_bounded_ok,eligible_for_stage4b,checks_json,decision
stage3_2_k4,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,"{""datasets"": {""bonn"": {""abs_rel_limit"": 0.08580499901369372, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.07545402951872039, ""candidate_delta1"": 0.9566336968596577, ""coverage_ok"": true, ""delta1_limit"": 0.9298731495619635, ""full_abs_rel"": 0.07461304262060324, ""full_delta1"": 0.9598731495619636, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}, ""kitti"": {""abs_rel_limit"": 0.19853628391592545, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.13337294142937575, ""candidate_delta1"": 0.8281883623516894, ""coverage_ok"": true, ""delta1_limit"": 0.691433769276333, ""full_abs_rel"": 0.17264024688341345, ""full_delta1"": 0.7214337692763331, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}, ""sintel"": {""abs_rel_limit"": 0.37173231807283463, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.3160537516887456, ""candidate_delta1"": 0.6502620746184491, ""coverage_ok"": true, ""delta1_limit"": 0.6275031718958046, ""full_abs_rel"": 0.323245493976378, ""full_delta1"": 0.6575031718958047, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}}, ""gpu_names"": [""NVIDIA RTX 6000 Ada Generation""]}",PASS
old_dino_k6,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,n/a,yes,"{""datasets"": {""bonn"": {""abs_rel_limit"": 0.08580499901369372, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.08379141761000666, ""candidate_delta1"": 0.9556358346584317, ""coverage_ok"": true, ""delta1_limit"": 0.9298731495619635, ""full_abs_rel"": 0.07461304262060324, ""full_delta1"": 0.9598731495619636, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}, ""kitti"": {""abs_rel_limit"": 0.19853628391592545, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.1610024761107437, ""candidate_delta1"": 0.7437314314417277, ""coverage_ok"": true, ""delta1_limit"": 0.691433769276333, ""full_abs_rel"": 0.17264024688341345, ""full_delta1"": 0.7214337692763331, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}, ""sintel"": {""abs_rel_limit"": 0.37173231807283463, ""best_bounded_abs_rel"": null, ""best_bounded_delta1"": null, ""candidate_abs_rel"": 0.3299472413918465, ""candidate_delta1"": 0.6379553450136569, ""coverage_ok"": true, ""delta1_limit"": 0.6275031718958046, ""full_abs_rel"": 0.323245493976378, ""full_delta1"": 0.6575031718958047, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": null, ""temporal_delta1_limit"": null, ""temporal_vs_best_bounded_ok"": true}}, ""gpu_names"": [""NVIDIA RTX 6000 Ada Generation""]}",PASS
temporal_binned_dino_k8,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,yes,no,yes,no,no,"{""datasets"": {""bonn"": {""abs_rel_limit"": 0.08580499901369372, ""best_bounded_abs_rel"": 0.07545402951872039, ""best_bounded_delta1"": 0.9566336968596577, ""candidate_abs_rel"": 0.0843123703222404, ""candidate_delta1"": 0.9563728383045061, ""coverage_ok"": true, ""delta1_limit"": 0.9298731495619635, ""full_abs_rel"": 0.07461304262060324, ""full_delta1"": 0.9598731495619636, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": 0.08299943247059244, ""temporal_delta1_limit"": 0.9266336968596577, ""temporal_vs_best_bounded_ok"": false}, ""kitti"": {""abs_rel_limit"": 0.19853628391592545, ""best_bounded_abs_rel"": 0.13337294142937575, ""best_bounded_delta1"": 0.8281883623516894, ""candidate_abs_rel"": 0.1923035287031897, ""candidate_delta1"": 0.6737298959479746, ""coverage_ok"": true, ""delta1_limit"": 0.691433769276333, ""full_abs_rel"": 0.17264024688341345, ""full_delta1"": 0.7214337692763331, ""memory_below_full"": true, ""quality_ok"": false, ""temporal_abs_rel_limit"": 0.14671023557231333, ""temporal_delta1_limit"": 0.7981883623516893, ""temporal_vs_best_bounded_ok"": false}, ""sintel"": {""abs_rel_limit"": 0.37173231807283463, ""best_bounded_abs_rel"": 0.3160537516887456, ""best_bounded_delta1"": 0.6502620746184491, ""candidate_abs_rel"": 0.3350447178901851, ""candidate_delta1"": 0.6380484517476986, ""coverage_ok"": true, ""delta1_limit"": 0.6275031718958046, ""full_abs_rel"": 0.323245493976378, ""full_delta1"": 0.6575031718958047, ""memory_below_full"": true, ""quality_ok"": true, ""temporal_abs_rel_limit"": 0.3476591268576202, ""temporal_delta1_limit"": 0.6202620746184491, ""temporal_vs_best_bounded_ok"": true}}, ""gpu_names"": [""NVIDIA RTX 6000 Ada Generation""]}",FAIL
