candidate,role,coverage_ok,run_ok,same_gpu_ok,streaming_semantics_ok,frozen_cache_config_ok,peak_memory_ok,gpu_plateau_ok,cpu_rss_plateau_ok,pose_eval_ok,pose_catastrophe_free,max_peak_allocated_mb,max_gpu_1000_minus_500_mb,max_rss_1000_minus_500_mib,max_pose_ate_ratio_to_best_bounded,max_pose_rot_ratio_to_best_bounded,full_success_ceiling_json,decision
stage3_2_k4,primary_bounded_deployment,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,8026.3154296875,0.0,0.6796875,1.802849363932159,13.363528094766906,,FAIL: pose_catastrophe
old_dino_k6,robust_bounded_alternative,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,8406.0654296875,0.0,1.66015625,1.6126621229481113,10.90883046562358,,FAIL: pose_catastrophe
temporal_binned_dino_k8,long_sequence_pose_specialist,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,8782.8779296875,0.0,4.3515625,2.3396110188921506,1.0052908444870268,,FAIL: pose_catastrophe
full_cache,quality_resource_reference,n/a,yes,yes,n/a,n/a,n/a,n/a,n/a,n/a,n/a,,,,,,"{""rgbd_dataset_freiburg1_room"": {""first_failed_frames"": 250, ""max_successful_frames"": 100}, ""rgbd_dataset_freiburg2_desk"": {""first_failed_frames"": 250, ""max_successful_frames"": 100}, ""rgbd_dataset_freiburg3_long_office_household"": {""first_failed_frames"": 250, ""max_successful_frames"": 100}}",REFERENCE_ONLY
